col_number,job,update_match
153,construction foreman,
154,construction worker,
155,consul,
156,consultant,
157,consultant assistant,
158,consultant consultant,consultant
159,consultant manager,
160,contractor,
161,cook,
162,cook assistant,
163,cook cook,cook
164,cooper,
165,copywriter,
166,corporal,
167,correspondent,
168,counselor,
169,count,
170,count analyst,
171,courier,
172,courier courier,courier
173,courier driver,courier
174,cowboy,
175,crafter,
176,cricketer,
177,critic,
178,curator,
179,custodian,
180,cutter,
181,cutter technician,
182,dancer,
183,dealer,
184,dean,
185,decorator,
186,defender,
187,defense minister,
188,delivery man,deliveryman
189,delivery-man,deliveryman
190,dentist,
191,department manager,
192,deposit clerk,
193,deputy,
194,designer,
195,detailer,
196,detective,
197,developer,
198,development coach,
199,dietician,
200,diplomat,
201,director,
202,dispatcher,
203,district attorney,
204,diver,
205,dj,
206,doctor,
207,doctor assistant,
208,doorkeeper,
209,dresser,
210,driver,
211,drug dealer,
212,drummer,
213,economist,
214,editor,
215,education consultant,
216,emperor,
217,engine driver,
218,engineer,
219,entrepreneur,
220,envoy,
221,escort,
222,estate agent,
223,evangelist,
224,examiner,
225,executive,
226,executive administrator,
227,executive assistant,
228,executive director,
229,executive editor,
230,executive manager,
231,executive producer,
232,factory worker,
233,family practitioner,
234,farmer,
235,fashion designer,
236,field contractor,
237,film critic,
238,film director,
239,film maker,
240,film producer,
241,film star,
242,filmmaker,
243,financial adviser,
244,financial planner,
245,fire chief,
246,fire-fighter,firefighter
247,firefighter,firefighter
248,firefighter instructor,
249,fisherman,
250,flyer,
251,food critic,
252,food service driver,
253,food service supervisor,
254,football player,
255,forester,
256,game designer,
257,gamekeeper,
258,gangster,
259,gardener,
260,gate-keeper,
261,gen,
262,gender,
263,general,
264,general assistant,
265,general counsel,
266,general manager,
267,general secretary,
268,gov.,
269,governor,
270,graphic artist,
271,graphic designer,
272,grip,
273,grocer,
274,guard,
275,guard coach,
276,guard guard,guard
277,guide,
278,guide bookkeeper,
279,guide guide,guide
280,guide model,
281,guru,
282,hacker,
283,hand-washer,
284,handler,
285,handyman,
286,head baker,
287,head coach,
288,headmaster,
289,health inspector,
290,health minister,
291,health secretary,
292,historian,
293,hockey player,
294,home attendant,
295,home minister,
296,home secretary,
297,homemaker,
298,homeopath,
299,host,
300,hostess,
301,house builder,
302,house mover,
303,house painter,
304,house-builder,house builder
305,house-painter,house painter
306,house-sitter,
307,housecleaner,cleaner
308,housekeeper,
309,housekeeping cleaner,cleaner
310,housewife,
311,hunter,
312,illustrator,
313,image consultant,
314,importer,
315,inspector,
316,installer,
317,instructor,
318,insurer,
319,interior designer,
320,intern,
321,internist,
322,interpreter,
323,interrogator,
324,inventor,
325,investigator,
326,investment banker,
327,jailer,
328,janitor,
329,jockey,
330,joker,
331,journalist,
332,judge,
333,king,
334,kitchen clerk,
335,kitchen helper,
336,kitchen supervisor,
337,labor minister,
338,labor secretary,
339,laboratory technician,
340,laborer,
341,landlord,
342,laundress,
343,laundry clerk,
344,lawyer,
345,leader,
346,leather worker,
347,lecturer,
348,legal secretary,
349,librarian,
350,library assistant,
351,library director,
352,license clerk,
353,lieutenant,
354,lifeguard,
355,line supervisor,
356,loader,
357,loan officer,
358,lobbyist,
359,lumberjack,
360,machinist,
361,magician,
362,magnate,
363,maid,
364,maid assistant,maid
365,maid cleaner,maid
366,maid clerk,
367,maid maid,maid
368,maid prostitute,
369,maid servant,maid
370,maid supervisor,
371,maid waitress,
372,maintenance carpenter,
373,maintenance engineer,
374,maintenance inspector,
375,maintenance mechanic,
376,maintenance supervisor,
377,management consultant,
378,manager,
379,managing editor,
380,manipulator,
381,manufacturer,
382,marketing director,
383,marketing manager,
384,marshal,
385,masher,
386,mason,
387,massage therapist,
388,masseur,
389,masseuse,
390,mate,
391,mathematician,
392,mayor,
393,mechanic,
394,mechanic technician,
395,media director,
396,mediator,
397,medic,
398,medical assistant,
399,medical examiner,
400,medical technologist,
401,mender,
402,merchant,
403,merchant clerk,
404,messenger,
405,messiah,
406,miner,
407,minister,
408,missionary,
409,mixer,
410,mobile,
411,model,
412,model artist,
413,model assistant,
414,model carpenter,
415,model coach,
416,model executive,
417,model instructor,
418,model model,model
419,model owner,
420,model publicist,
421,model student,
422,model student nurse,
423,model supervisor,
424,model teacher,
425,model trainer,
426,model waitress,
427,modeller,
428,monk,
429,muralist,
430,music teacher,
431,musician,
432,nanny,
433,narrator,
434,navigator,
435,negotiator,
436,news anchor,
437,novelist,
438,nun,
439,nun secretary,nun
440,nurse,
441,nurse assistant,nurse
442,nurse midwife,
443,nurse nurse,nurse
444,nurse practitioner,nurse
445,nurse teacher,
446,nurse-midwife,nurse
447,nursemaid,nurse
448,nutritionist,
449,one,
450,operator,
451,organizer,
452,owner,
453,packer,
454,painter,
455,paralegal,
456,paramedic,
457,paramedic assistant,
458,parole officer,
459,part maker,
460,pastor,
461,pastry chef,
462,pastry cook,
463,pathologist,
464,patriarch,
465,peddler,
466,performer,
467,personal attendant,
468,personal service representative,
469,personal trainer,
470,personnel manager,
471,pharmacist,
472,philosopher,
473,photo editor,
474,photographer,
475,photojournalist,
476,physician,
477,picker,
478,pilot,
479,pimp,
480,pinner,
481,placer,
482,plant engineer,
483,plant operator,
484,plant supervisor,
485,plasterer,
486,playwright,
487,plumber,
488,poet,
489,police aide,
490,police chief,
491,police clerk,
492,police detective,
493,police inspector,
494,police officer,
495,police official,
496,policeman,
497,political advisor,
498,political scientist,
499,politician,
500,pope,
501,pornographer,
502,porter,
503,preacher,
504,premier,
505,presenter,
506,president,
507,priest,
508,priest assistant,
509,prince,
510,princess,
511,principal,
512,printer,
513,private detective,
514,private investigator,
515,probation officer,
516,processor,
517,processor operator,
518,producer,
519,prof,professor
520,professional athlete,
521,professor,
522,program coordinator,
523,program manager,
524,programmer,
525,project manager,
526,prophet,
527,prosecutor,
528,prostitute,
529,psychiatrist,
530,psychologist,
531,public health educator,
532,public relations officer,
533,public relations representative,
534,public safety officer,
535,public speaker,
536,publicist,
537,publisher,
538,queen,
539,rabbi,
540,rapper,
541,reader,
542,real estate developer,
543,receptionist,
544,recorder,
545,recruiter,
546,rep,
547,rep.,rep
548,repairer,
549,reporter,
550,representative,
551,research associate,
552,researcher,
553,restaurateur,
554,retailer,
555,rev,reverend
556,reverend,
557,reviewer,
558,ride attendant,
559,river,
560,runner,
561,safety coordinator,
562,safety engineer,
563,safety inspector,
564,safety manager,
565,safety minister,
566,sailor,
567,saint,
568,sales attendant,
569,sales clerk,
570,sales manager,
571,sales person,
572,sales representative,
573,salesman,
574,salesmen,
575,scanner,
576,scanner driver,
577,scanner operator,
578,scheduler,
579,scholar,
580,school nurse,nurse
581,school psychologist,
582,school secretary,secretary
583,schoolteacher,teacher
584,scientist,
585,scout,
586,scribe,
587,scuba diver,
588,sculptor,
589,seamstress,
590,second,
591,secretary,
592,secretary of,
593,secretary of a,
594,secretary of agriculture,
595,secretary of an,
596,secretary of christ,
597,secretary of commerce,
598,secretary of defense,
599,secretary of finance,
600,secretary of government,
601,secretary of gurga,
602,secretary of health,
603,secretary of housing,
604,secretary of our,
605,secretary of policy,
606,secretary of social,
607,secretary of state,
608,secretary of the,
609,secretary of the american,
610,secretary of the b,
611,secretary of the board,
612,secretary of the c,
613,secretary of the centre,
614,secretary of the ch,
615,secretary of the church,
616,secretary of the city,
617,secretary of the council,
618,secretary of the d,
619,secretary of the department,
620,secretary of the family,
621,secretary of the government,
622,secretary of the hindu,
623,secretary of the house,
624,secretary of the independent,
625,secretary of the indian,
626,secretary of the institute,
627,secretary of the international,
628,secretary of the israeli,
629,secretary of the jewish,
630,secretary of the local,
631,secretary of the los,
632,secretary of the mad,
633,secretary of the ministry,
634,secretary of the monastery,
635,secretary of the n,
636,secretary of the national,
637,secretary of the new,
638,secretary of the roman,
639,secretary of the s,
640,secretary of the sect,
641,secretary of the state,
642,secretary of the united,
643,secretary of the university,
644,secretary of the women,
645,secretary of war,
646,security adviser,
647,security chief,
648,security guard,security guard
649,security-guard,security guard
650,senator,
651,senior director,
652,senior manager,
653,senior minister,
654,sergeant,
655,servant,
656,servant servant,servant
657,service clerk,
658,service director,
659,service dispatcher,
660,service representative,
661,services clerk,
662,services minister,
663,sexologist,
664,shaver,
665,sheikh,
666,shepherd,
667,sheriff,
668,shooter,
669,shooting guard,
670,shop supervisor,
671,shopkeeper,
672,singer,
673,skier,
674,slasher,
675,sniper,
676,soccer player,
677,social director,
678,social psychologist,
679,social secretary,
680,social worker,
681,social-worker,social worker
682,sociologist,
683,software engineer,
684,soldier,
685,solicitor,
686,sommelier,
687,songwriter,
688,sous chef,
689,special agent,
690,specialist,
691,specialist assistant,
692,specialist driver,
693,spinner,
694,spokesman,
695,spokesperson,
696,spokeswoman,
697,staff sergeant,
698,stand in,stand-in
699,stand-in,
700,stand-in accountant,accountant
701,stand-in bartender,bartender
702,stand-in clerk,clerk
703,stand-in engineer,engineer
704,stand-in guard,guard
705,stand-in mixer,mixer
706,stand-in nurse,nurse
707,stand-in waiter,waiter
708,stand-in waitress,waitress
709,statistician,
710,steward,
711,stewardess,
712,stoner,
713,storekeeper,
714,strategist,
715,street artist,
716,street cleaner,
717,street sweeper,
718,street vendor,
719,stripper,
720,student,
721,student activist,
722,student assistant,
723,student counselor,
724,student escort,
725,student interpreter,
726,student leader,
727,student nurse,
728,student secretary,
729,stylist,
730,superintendent,
731,supermodel,model
732,supervisor,
733,surgeon,
734,system administrator,
735,systems analyst,
736,tailor,
737,taper,
738,taster,
739,tax accountant,
740,tax attorney,
741,tax clerk,
742,tax collector,
743,taxi driver,
744,taxi-driver,taxi driver
745,teacher,
746,teacher assistant,
747,teacher intern,
748,team manager,
749,technical engineer,
750,technician,
751,technologist,
752,teller,
753,therapist,
754,toxicologist,
755,tracer,
756,trader,
757,trainer,
758,translator,
759,transportation engineer,
760,transportation inspector,
761,travel agent,
762,treasurer,
763,truck driver,
764,tutor,
765,usher,
766,utility worker,
767,van driver,
768,vendor,
769,veterinarian,
770,vice chairman,
771,vice president,
772,vice-president,vice president
773,video editor,
774,waiter,
775,waiter assistant,waiter
776,waitress,
777,waitress assistant,waitress
778,waitress waitress,waitress
779,warden,
780,warehouse supervisor,
781,wash helper,
782,wash operator,
783,web designer,
784,webmaster,
785,window cleaner,
786,wrestler,
787,writer,
788,writer consultant,
789,yard inspector,
790,yard manager,
791,yard worker,
