Continent,Gender,Region_year,No_1,No_2,No_3,No_4,No_5,No_6,No_7,No_8,No_9,No_10,No_11,No_12,No_13,No_14,No_15,No_16,No_17,No_18,No_19,No_20,No_21,No_22,No_23
Africa,F,Morocco[7],Salma,Imane,Rita,Zineb,Sarah,Yasmine,Meryem,Kenza,Aya,Lina,,,,,,,,,,,,,
Africa,F,South Africa[5] (2015),Precious,Princess,Angel,Amahle,Minenhle,Thandolwethu,Melokuhle,Blessing,Faith,Lesedi,,,,,,,,,,,,,
Africa,F,Tunisia[6] (2005),Mariam,Shayma,Khawla,,,,,,,,,,,,,,,,,,,,
Americas,M,"Buenos Aires, Argentina (2015)[8]",Santiago,Mateo,Juan,Matías,Nicolás,Benjamín,Pedro,Tomás,Thiago,Santino,,,,,,,,,,,,,
Americas,M,Aruba (2005)[9],Daniel,Dylan/Dyllan,Kevin/Keven,,,,,,,,,,,,,,,,,,,,
Americas,M,"""Brazil (census, 2010)[11]""",José,João,Antônio,Francisco,Carlos,Paulo,Pedro,Lucas,Luiz,Marcos,,,,,,,,,,,,,
Americas,M,"Canada (2017, Babycenter)[12]",Noah,Liam,Jackson,Lucas,Logan,Benjamin,Jacob,William,Oliver,James,,,,,,,,,,,,,
Americas,M,Chile (2015)[14],Agustín,Benjamín,Vicente,Mateo,Martín,Matías,Alonso,Tomás,Maximiliano,Joaquín,,,,,,,,,,,,,
Americas,M,Colombia (2011)[15],Santiago,Juan David,Juan José,Andrés Felipe,Samuel,Sebastián,Matías,Alejandro,Nicolás,Jerónimo,,,,,,,,,,,,,
Americas,M,Greenland (2001–2010)[16][17],Malik,Aputsiaq,Minik,Hans,Inunnguaq,Kristian,Nuka,Salik,Peter,Inuk,,,,,,,,,,,,,
Americas,M,"Haiti (unofficial, privately compiled)[18]",Stevenson,Stanley,Samuel,Peterson,Daniel,Wilson,Jameson,Evens,Ricardo,Emmanuel,,,,,,,,,,,,,
Americas,M,Jamaica  (2011)[19],Jayden,Daniel,Joshua,Justin,Ajani,Jaden,,,,,,,,,,,,,,,,,
Americas,M,Mexico (2013)[20],Santiago,Mateo,Matías,Diego,Sebastián,Nicolás,Miguel Ángel,Iker,Alejandro,Samuel,,,,,,,,,,,,,
Americas,M,"Paraguay (2015, general population)[21]",Ramón,Juan,José,Antonio,Carlos,Daniel,Luis,Javier,David,César,,,,,,,,,,,,,
Americas,M,Peru (2012)[22],Luis,José,Alexander,David,Angel,Carlos,Sebastián,Daniel,Jesús,Juan,,,,,,,,,,,,,
Americas,M,Puerto Rico[23] (2016),Sebastián,Dylan,Ian,Jayden,Adrián,Luis,Mateo,Diego,Lucas,Fabian,Angel,,,,,,,,,,,,
Americas,M,United States   (2017)[24],Liam,Noah,William,James,Logan,Benjamin,Mason,Elijah,Oliver,Jacob,,,,,,,,,,,,,
Americas,M,Uruguay,Agustín,Matías,Santiago,Nicolás,Martín,Bruno,Francisco,Rodrigo,Mateo,Joaquín,,,,,,,,,,,,,
Americas,M,Venezuela  (2011)[26],Sebastián,Santiago,Samuel,Diego,Gabriel,Alejandro,Diego Alejandro,Daniel Alejandro,David,Juan Andrés,,,,,,,,,,,,,
Americas,F,"Buenos Aires, Argentina (2015)[8]",Sofía,María,Lucía,Martina,Catalina,Elena,Emilia,Valentina,Paula,Zoe,,,,,,,,,,,,,
Americas,F,Aruba  (2005)[9],Alysha,Isabella/Isabelle,Emily/Emely,,,,,,,,,,,,,,,,,,,,
Americas,F,"Brazil (census, 2010)[11]",Maria,Ana,Francisca,Antônia,Adriana,Juliana,Marcia,Fernanda,Patrícia,Aline,,,,,,,,,,,,,
Americas,F,"Canada (2017, Babycenter)[12]",Olivia,Emma,Charlotte,Sophia,Aria,Ava,Chloe,Zoey,Abigail,Amilia,,,,,,,,,,,,,
Americas,F,Chile   (2015)[14],Sofía,Emilia,Isidora,Florencia,Maite,Josefa,Amanda,Antonella,Agustina,Martina,,,,,,,,,,,,,
Americas,F,Colombia  (2011)[15],Mariana,Valentina,Isabella,Sofía,Valeria,María José,Gabriela,Sara,Salomé,Daniela,,,,,,,,,,,,,
Americas,F,Greenland  (2001–2010)[17],Ivaana,Pipaluk,Nivi,Paninnguaq,Ivalu,Naasunnguaq,Julie,Ane,Isabella,Kimmernaq,,,,,,,,,,,,,
Americas,F,"Haiti (unofficial, privately compiled)[18]",Widelene,Mirlande/Myrlande,Islande,Lovelie/Lovely,Judeline,Angeline,Esther,Chedeline,Jessica,Rose-Merline,,,,,,,,,,,,,
Americas,F,Jamaica  (2011)[19],Gabrielle,Amelia,Tianna,Brianna,Jada,,,,,,,,,,,,,,,,,,
Americas,F,Mexico (2013)[20],Ximena,Valentina,María Fernanda,Sofía,María José,Martina,Emilia,Zoe,Mia,Dulce María,,,,,,,,,,,,,
Americas,F,"Paraguay (2015, general population)[21]",María,Elizabeth,Beatriz,Ramona,Liz,Concepción,Carolina,Mabel,Raquel,Noemí,,,,,,,,,,,,,
Americas,F,Peru (2012)[22],María,Valentina,Camila,Fernanda,Milagros,Luz,Abigail,Ariana,Luciana,Alexandra,,,,,,,,,,,,,
Americas,F,Puerto Rico (2016)[23],Valentina,Victoria,Mia,Amanda,Camila,Amaia,Emma,Kamila,Sofia,Isabella,Mikaela,,,,,,,,,,,,
Americas,F,United States   (2017)[24],Emma,Olivia,Ava,Isabella,Sophia,Taylor,Charlotte,Amelia,Evelyn,Abigail,,,,,,,,,,,,,
Americas,F,Uruguay,Florencia,Lucía,Agustina,Valentina,Camila,Julia/Julieta,Sofía,Abril,Ana Paula,Micaela,,,,,,,,,,,,,
Americas,F,Venezuela  (2011)[26],Camila,Isabella,Sofía,Victoria,Valentina,Valeria,Nicole,Samantha,Mariana,Antonella,,,,,,,,,,,,,
Asia,M,Arab world (2015)[28],Mohamed,Ali,Ahmed,Yousouf,Omar,Adam,Abdullah,Abdulrahman,Hamza,Khalid,,,,,,,,,,,,,
Asia,M,Azerbaijan  (general population as of 2010)[30],Ali,Elchin,Vugar,Anar,Elnur,Samir,Elshan,Rashad,Ilgar,Vusal,,,,,,,,,,,,,
Asia,M,"China (most common names, not official)[31]",An,Bo,Cheng,De,Dong,Feng,Gang,Guo,Hui,Jian,Jie,Kang,Liang,Ning,Peng,Tao,Wei,Yong,Wen,,,,
Asia,M,China (not official)[1],Wei,Jie,Hao,Yi,Jun,Feng,Yong,Jian,Bin,Lei,,,,,,,,,,,,,
Asia,M,"India (BabyCenter, 2015)[32]",Aarav,Reyansh,Mohammad,Vivaan,Ayaan,Vihaan,Atharv,Sai,Advik,Arjun,,,,,,,,,,,,,
Asia,M,Iran (babies born 2010–2011)[33],Amir-Ali,AbulFazl,Amir-Hossein,Ali,Mohammad,Amir-Mohammad,Mahdi,Hossein,Mohammad-Mahdi,Mohammad-Reza,,,,,,,,,,,,,
Asia,M,Iran (general population)[34],Mohammad,Ali,Hossein,Mahdi,Hassan,Reza,Ahmad,Mohammad-Reza,Abbas,Ali-Reza,,,,,,,,,,,,,
Asia,M,Iraq (2007)[citation needed],Ali,Muhammed,Hussein,Hydar,Ahmed,Omar,Hasan,Kathem,Abdullah,Ammar,,,,,,,,,,,,,
Asia,M,"Israel,  (2016)[35][36][37][38]",Ori,David,Ariel,Noam,Eitan,Yosef,Itai,Daniel,Yonatan,Lavi,,,,,,,,,,,,,
Asia,M,"Israel, Muslim boys (2015)[35][36][37]""",Mohammad,Ahmad,Yusuf,Omar,Adam,Jud/Jod,Abed,Ali,Amir,Ibrahim,,,,,,,,,,,,,
Asia,M,Japan (2015)[42],Sō/Minato/Ichika,Itsuki/ Tatsuki,Ren,Hinata/Haruta,Asahi/Haruki/Tomoharu,Sōta,Yuuma,Arata,Ryō,Yūto/Haruto/Haruito,Sōta/Kanata,Hayato/Taichi,,,,,,,,,,,
Asia,M,Jordan (2009)[43],Mohammad,Ahmad,Abdul Rahman,,,,,,,,,,,,,,,,,,,,
Asia,M,Kazakhstan (2013)[44],Yerasyl,Alikhan,Nürasyl,Nürislam,Sanzhar,Artyom,Mïras,Aisültan,Arsen,Amïr,,,,,,,,,,,,,
Asia,M,Kuwait (2015)[45],Mohammad,Abdullah,Fahad,Khaled,Ali,Yousef,Ahmed,Abdulaziz,Faisal,Bader,,,,,,,,,,,,,
Asia,M,Lebanon (2015)[46],Elie,Mohammad,Charbel,Ali,Hassan,Hussein,George,Ahmad,Christian,Joe,,,,,,,,,,,,,
Asia,M,"Malaysia (2015, BabyCenter)[47]",Muhamad,Ahmad,Amar,Adam,Ethan,Umar,Aqil,Danish,Izz,Aidan,,,,,,,,,,,,,
Asia,M,Mongolia[48],Naranbaatar,Batkhaаn,Baаtar,Chuluun,Sukhbaаtar,,,,,,,,,,,,,,,,,,
Asia,M,Nepal[49],Krishna,Kiran,Bishal,Bibek,Siddhartha,Manish,Mahesh,Kamal (name),Prem,Prakash,,,,,,,,,,,,,
Asia,M,Pakistan,Mohammad,Ali,Hussain,Omar,Bilal,Usman,Zahid,Shahid,Saqib,Nomaan,,,,,,,,,,,,,
Asia,M,"Philippines (2015, Philippine Statistics Authority)[50]",Nathaniel,Gabriel,James,Francis,Joshua,Jacob,Angelo,Daniel,Alexander,John Mark,,,,,,,,,,,,,
Asia,M,Saudi Arabia[51],Mohammad,Fahd,Abdullah,Abdulrahman,Turki,Bandar,Omar,Ali,,,,,,,,,,,,,,,
Asia,M,South Korea (2013)[52],Min-jun,Seo-jun,Joo-won,Ye-jun,Shi-woo,Jun-seo,Do-yoon,Hyun-woo,Gun-woo,Ji-hoon,,,,,,,,,,,,,
Asia,M,"Taiwan (1980s-1990s births, 2010 census)[53][54]",Chia-hao,Chih-ming,Chun-chieh,Chien-hung,Chun-hung,Chih-hao,Chih-wei,Wen-Hsiung,Chin-lung,Chih-chiang,,,,,,,,,,,,,
Asia,M,Tajikistan (2009)[55],Muhammad,Yusuf,Abdullo,Abubakr,,,,,,,,,,,,,,,,,,,
Asia,M,Thailand (2011 census)[56],Somchai,Somsak,Somporn,Somboon,Prasert,,,,,,,,,,,,,,,,,,
Asia,M,"Turkey (Overall, 2013)[58]",Mehmet,Mustafa,Ahmet,Ali,Hüseyin,Hasan,Ibrahim,İsmail,Osman,Yusuf,,,,,,,,,,,,,
Asia,M,"Dubai, United Arab Emirates (2015)[59]",Mohammad,Ali,Omar,Ahmad/Ahmed,Abdulla/Abdullah,,,,,,,,,,,,,,,,,,
Asia,F,Arab world (2015) (BabyCenter Arabia members)[60],Maryam,Sarah,Fatima,Noor,Reem ,Leen,Salma,Tala,Jana,Thalia,,,,,,,,,,,,,
Asia,F,Azerbaijan  (general population)[61],Sevinj,Gunel,Leyla,Aygun,Gunay,Sevda,Vusala,Konul,Aysel,Tarana,,,,,,,,,,,,,
Asia,F,"China (most common names, not official)[31]",Ai,Bi,Cai,Dan,Fang,Hong,Hui,Juan,Lan,Li,Lian,Na,Ni,Qian,Qiong,Shan,Shu,Ting,Xia,Xian,Yan,Yun,Zhen
Asia,F,China (not official)[1],Jing,Ying,Yan,Li,Xiaoyan,Xinyi,Jie,Lili,Xiaomei,Tingting,,,,,,,,,,,,,
Asia,F,"India (BabyCenter, 2015)[62]",Aadya,Diya,Saanvi,Amaira,Angel,Myra,Aaradhya,Anaya,Riya,Shanaya,,,,,,,,,,,,,
Asia,F,Iran[33] (babies born 2010–2011),Fatemeh,Zahra,Setayesh,Hasti,Zeinab,Nazanin-Zahra,Reihaneh,Maryam,Mobina,Narges,,,,,,,,,,,,,
Asia,F,Iran (general population)[34],Fatemeh,Zahra,Maryam,Ma'soumeh,Sakineh,Zeinab,Roghayyeh,Khadije,Leyla,Somayyeh,,,,,,,,,,,,,
Asia,F,"Israel, Jewish girls (2016)[35][36][37][38]",Tamar,Avigail,Adele/Adel/Edel,Noa,Shira,Talia,Yael,Sarah,Lia,Esther,,,,,,,,,,,,,
Asia,F,"Israel, Muslim (girls) (2015)[35][36][37]",Maryam,Sha'im,Jana,Lin,Lian,Aline,Sara,,,,,,,,,,,,,,,,
Asia,F,Japan (2015)[42],Sakura,Riko,Aoi,Wakana,Sakura/Sara,Rin,Anna/Azuna,Himari/Hinata,Yuna/Yuina,Kaede,,,,,,,,,,,,,
Asia,F,Jordan  (2009)[43],Rimas,Jana,Hala,,,,,,,,,,,,,,,,,,,,
Asia,F,Kazakhstan (2013)[44],Ayzere,Inzhu,Ayaru,Käwsar,Ayşa,Aruzhan,Amïna,Ayaulym,Sezim,Iñkär,,,,,,,,,,,,,
Asia,F,Kuwait (2015)[45],Fatma,Mariam,Hussa,Sherifa,Sara,Reem,Aisha,Dalal,Lulwa,Shaikha,,,,,,,,,,,,,
Asia,F,Lebanon (2015)[63],Marie,Fatima,Jessica,Zeinab,Mariam,Sarah,Maya,Layla,Christina,Amal,,,,,,,,,,,,,
Asia,F,"Malaysia (2015, BabyCenter)[47]",Nor,Hannah,Aishah,Siti,Zara,Puteri,Nurul,Sophia,Sara,Dhia,,,,,,,,,,,,,
Asia,F,Mongolia[48],Odval,Bolormaa,Bayarmaa,Oyunbileg,Khongordzol,,,,,,,,,,,,,,,,,,
Asia,F,Nepal[49],Shristi,Sunita,Rabina,Asmita,Niharika,Binita,Aasha,Kabita,Sita,Gita,,,,,,,,,,,,,
Asia,F,Pakistan,Fatima,Fozia,Bismah,Sobia,Farrah,Maryam,Farzana,Ayesha,Sakeena,Zainab,,,,,,,,,,,,,
Asia,F,"Philippines (2015, Philippine Statistics Authority)[50]",Angel,Althea,Princess,Ashley,Samantha,Sophia,Andrea,Angela,Janine,Sofia,,,,,,,,,,,,,
Asia,F,South Korea (2013)[52],Seo-yeon,Seo-yun,Ji-woo,Seo-hyeon,Min-seo,Yun-seo,Chae-won,Ha-yoon,Ji-ah,Eun-seo,,,,,,,,,,,,,
Asia,F,Saudi Arabia[51],Sara,Latifa,Nora,Hessa,Maysoun,Maha,Nouf,Noor,Reema,Alanoud,,,,,,,,,,,,,
Asia,F,"Taiwan (1980s-1990s births, 2010 census)[53][54]",Shu-fen,Shu-hui,Mei-ling,Ya-ting,Mei-hui,Li-hua,Shu-chuan,Shu-chen,I-chun,Shu-hua,,,,,,,,,,,,,
Asia,F,Tajikistan  (2009)[55],Sumayah,Asiya,Oisha,Googoosh,Anohito,Indira,,,,,,,,,,,,,,,,,
Asia,F,"Turkey (Overall, 2013)[58]",Fatma,Ayşe,Emine,Hatice,Zeynep,Elif,Meryem,Şerife,Zehra,Sultan,,,,,,,,,,,,,
Asia,F,"Dubai, United Arab Emirates (2015)[59]",Mariam,Sara/Sarah,Fatima/Fatma,Ayesha,Noor,,,,,,,,,,,,,,,,,,
Europe,M,Albania  (2014)[64][65],Noel,Joel,Mateo,Ergi,Luis,Aron,Samuel,Roan,Roel,Xhoel,,,,,,,,,,,,,
Europe,M,Andorra (2013)[66],Marc,Eric,Jan,Daniel,Enzo,Ian,Pol,Àlex,Jordi,Martí,,,,,,,,,,,,,
Europe,M,Armenia  (2013)[67],Davit,Narek,Gor,Hayk,Alex,Arman,Tigran,Erik,Samvel,Alen,,,,,,,,,,,,,
Europe,M,Austria   (2014)[68],Lukas,Maximilian,Jakob,David,Tobias,Paul,Jonas,Felix,Alexander,Elias,,,,,,,,,,,,,
Europe,M,"Belarus (Minsk, 2018)[69]",Artsiom,Mikhail,Maksim,Ivan,Roman,Aleksandr,Danyl ,,,,,,,,,,,,,,,,
Europe,M,Belgium  (2012)[70],Lucas,Louis,Noah,Nathan,Adam,Arthur,Mohamed,Victor,Mathis,Liam,,,,,,,,,,,,,
Europe,M,"Bosnia and Herzegovina, Federation of BiH, (2017)[71]",Ahmed,Daris,Amar,Davud,Adin,Hamza,Harun,Vedad,Imran,Tarik,,,,,,,,,,,,,
Europe,M,"Bosnia and Herzegovina, Republika Srpska, (2017)[72]",Stefan,Luka,Lazar,Nikola,Pavle,David,Marko,Mihajlo,Andrej,Miloš,,,,,,,,,,,,,
Europe,M,Bulgaria  (2015)[73][74],Georgi,Aleksandar,Martin,Dimitar,Ivan,Nikolay,Nikola,Daniel,Viktor,Kristian,,,,,,,,,,,,,
Europe,M,Croatia (2017)[75],Luka,David,Ivan,Jakov,Marko,Petar,Filip,Matej,Mateo,Leon,,,,,,,,,,,,,
Europe,M,"Cyprus (2011, census)[76][77]",Andreas,Georgios,Konstantinos,Christos,Nikolaos,Michalis,Panagiotis,Ioannis,Marios,Dimitrios,,,,,,,,,,,,,
Europe,M,Czech Republic (2014)[78],Jakub,Jan,Tomáš,David,Adam,Matyáš,Filip,Vojtěch,Ondřej,Lukáš,,,,,,,,,,,,,
Europe,M,Denmark (2018 births)[79],William,Noah,Oscar,Lucas,Victor,Malthe,Oliver,Alfred,Carl,Valdemar,,,,,,,,,,,,,
Europe,M,"England, United Kingdom (2016)[80]",Oliver,George,Harry,Jack,Jacob,Noah,Charlie,Muhammad,Thomas,Oscar,,,,,,,,,,,,,
Europe,M,Estonia  (2015)[81],Rasmus,Robin,Oliver,Maksim,Robert,Martin,Kaspar,Oskar,Henri,Markus,,,,,,,,,,,,,
Europe,M,"Faroe Islands, Denmark  (2014)[82]",Benjamin,Liam,Aron,Dávid,Rókur,Brandur,Kristian,Elias,Filip,Mattias,Fríði,Nóa,,,,,,,,,,,
Europe,M,Finland (2019 births among Finnish speakers)[83],Leo,Elias,Oliver,Eino,Väinö,Eeli,Noel,Leevi,Onni,Hugo,,,,,,,,,,,,,
Europe,M,France (2017)[84],Gabriel,Louis,Raphaël,Jules,Adam,Lucas,Léo,Hugo,Arthur,Nathan,,,,,,,,,,,,,
Europe,M,Georgia (2014)[85],Giorgi,Nikoloz,Andria,Gabrieli,Luka,Saba,Davit,Aleksandre,,,,,,,,,,,,,,,
Europe,M,Germany (2015)[86],Ben,Jonas,Leon,Elias,Finn/Fynn,Noah,Paul,Luis/Louis,Lukas/Lucas,Luca/Luka,,,,,,,,,,,,,
Europe,M,Greece (2010)[87][88],Georgios,Ioannis,Konstantinos,Dimitrios,Nikolaos,Panagiotis,Vasileios,Christos,Athanasios,Michail,,,,,,,,,,,,,
Europe,M,Guernsey (2010)[89],Charlie,Harry,William,Alexander,Lewis,Charles,,,,,,,,,,,,,,,,,
Europe,M,Hungary (2014)[90],Bence,Máté,Levente,Ádám,Dávid,Dániel,Marcell,Balázs,Milán,Dominik,,,,,,,,,,,,,
Europe,M,Iceland (2014 births)[91][92][93],Aron,Alexander,Viktor/Victor,Kristján/Kristian/Christian,Jón,Guðmundur/Kristófer,Gunnar/Ólafur/Olav,Benedikt/Dagur/Emil,,,,,,,,,,,,,,,
Europe,M,Ireland   (2015)[94],Jack,James,Daniel,Conor,Seán,Adam,Noah,Michael,Charlie,Luke,,,,,,,,,,,,,
Europe,M,Isle of Man  (2010)[95],James/Jamie,Joshua,Harry/Harrison,Connor,Jackson,Alfie/Alfred,Benjamin,Charles,Daniel,Lucas/Luke,Thomas,Jake,William,Lee,Theo,,,,,,,,
Europe,M,Italy (2018)[96],Leonardo,Francesco,Alessandro,Lorenzo,Mattia,Andrea,Gabriele,Riccardo,Tommaso,Edoardo,,,,,,,,,,,,,
Europe,M,Latvia (2014)[97],Roberts,Markuss,Artjoms,Ralfs,Gustavs,Maksims,Artūrs,Aleksandrs,Emīls,Daniels,,,,,,,,,,,,,
Europe,M,Liechtenstein  (2015)[98],Benjamin,Raphael/Rafael,Jonas,David,Elias,Paul,Liam,Robin,,,,,,,,,,,,,,,
Europe,M,"Lithuania  (2015, unofficial)[99]",Lukas,Matas,Nojus,Dominykas,Jokūbas,Emilis,Jonas,Kajus,Gabrielius,Dovydas,,,,,,,,,,,,,
Europe,M,"Luxembourg, Luxembourg  (2014, babies born)[100]",Gabriel,Leo,Luca,Noah,David,Tom,Ben,,,,,,,,,,,,,,,,
Europe,M,"Republic of North Macedonia  (2012, general population)[101]",Aleksandar,Zoran,Nikola,Goran,Dragan,Dejan,Petar,Igor,Ilija,Stefan,,,,,,,,,,,,,
Europe,M,Malta   (2014)[103],Luke/Luca/Lucas,Matthew/Matthias/Matteo,Jacob/Jake,Zachary/Zak/Zack,Michael/Miguel/Mikhail,Liam/William,John/Jean/Jonathan/Juan/Gan,Benjamin/Ben,Kaiden/Kayden/Kai,Andrew/Andreas/Andre/Andy,Alexander/Alessandro/Alec,,,,,,,,,,,,
Europe,M,Moldova  (2016)[104],David,Maxim,Alexandru,Artiom,Ion,Bogdan,Daniel,Matthew,Nikita,Michael,,,,,,,,,,,,,
Europe,M,Monaco (2015)[105],Gabriel,Alexandre,Lucas,Ethan,Aaron,,,,,,,,,,,,,,,,,,
Europe,M,"Montenegro (2011, general population)[106]",Nikola,Marko,Dragan,Miloš,Zoran,Milan,Aleksandar,Ivan,Petar,Luka,,,,,,,,,,,,,
Europe,M,Netherlands   (2016)[108],Daan,Noah,Sem,Lucas,Jesse,Finn,Milan,Max,Levi,Luuk,,,,,,,,,,,,,
Europe,M,"Northern Ireland, United Kingdom   (2015)[109]",James,Jack,Noah,Charlie,Daniel,Oliver,Matthew,Harry,Thomas,Jake,,,,,,,,,,,,,
Europe,M,Norway   (2016)[110],William,Oskar,Lucas,Mathias,Filip,Oliver,Jakob/Jacob,Emil,Noah,Aksel,,,,,,,,,,,,,
Europe,M,Poland   (2016)[111],Antoni,Jakub,Jan,Szymon,Aleksander,Franciszek,Filip,Mikołaj,Wojciech,Kacper,,,,,,,,,,,,,
Europe,M,Portugal  (2015)[112],João,Martim,Rodrigo,Santiago,Francisco,Afonso,Tomás,Miguel,Guilherme,Gabriel,,,,,,,,,,,,,
Europe,M,Romania  (2014)[113],Andrei,David,Alexandru,Gabriel,Mihai,Cristian,Ștefan,Luca,Ionuț,Darius,,,,,,,,,,,,,
Europe,M,"Moscow, Russia (2015 births, official civil registry figures)[114]",Alexander,Maxim,Artyom/Artem,Mikhail,Daniil/Danila/Danil,Ivan,Dmitry,Kirill,Andrey,Yegor,,,,,,,,,,,,,
Europe,M,"Russia (2012, official civil registry figures (ЗАГС))[115]",Alexander,Sergei,Dmitry,Andrei,Alexey,Maxim,Evgeny,Ivan,Mikhail,Artyom,,,,,,,,,,,,,
Europe,M,"Scotland, United Kingdom   (2016)[116]",Jack,James,Oliver,Lewis,Logan,Harry,Noah,Leo,Charlie,Alexander,,,,,,,,,,,,,
Europe,M,"Serbia (2011, general population)[117]",Dragan,Milan,Aleksandar,Zoran,Nikola,Miloš,Marko,Goran,Dušan,Dejan,,,,,,,,,,,,,
Europe,M,Serbia  (2014)[118],Nikola,Luka,Stefan,Marko,Lazar,Aleksandar,Filip,Jovan,Nemanja,Miloš,,,,,,,,,,,,,
Europe,M,Slovakia  (2013)[119],Jakub,Adam,Samuel,Lukáš,Martin,Tomáš,Michal,Filip,Matej,Matúš,,,,,,,,,,,,,
Europe,M,Slovenia (2017)[120],Luka,Jakob,Mark,Filip,Nik,Tim,Jaka,Žan,Jan,Lovro,,,,,,,,,,,,,
Europe,M,Spain  (2016 excluding Basque Country & Catalonia)[121],Hugo,Daniel,Martín,Pablo,Alejandro,Lucas,Álvaro,Adrián,Mateo,David,,,,,,,,,,,,,
Europe,M,"Basque Country, Spain  (2015)[121]",Markel,Aimar,Jon,Ibai,Julen,Ander,Unax,Oier,Mikel,Iker,,,,,,,,,,,,,
Europe,M,"Catalonia, Spain  (2015)[121]",Marc,Àlex,Marti,Hugo,Biel,Èric,Nil,Jan,Pol,Pau,,,,,,,,,,,,,
Europe,M,Sweden   (2016)[122],Oscar,Lucas,William,Liam,Oliver,Hugo,Alexander,Elias,Charlie,Noah,,,,,,,,,,,,,
Europe,M,"Switzerland (2016, all births)[123]",Noah,Liam,Gabriel,Luca,Leon,Elias,David,Samuel,Louis,Julian,,,,,,,,,,,,,
Europe,M,Ukraine  (2020)[124],Artem,Matviy,Maksym,David,Nikita/Mykyta,Mykhailo,Daniil/Danylo,Bohdan,Andriy,Oleksandr,,,,,,,,,,,,,
Europe,M,"Wales, United Kingdom  (2016)[80]",Oliver,Jacob,Noah,Jack,Oscar,Harry,Charlie,Alfie,George,William,,,,,,,,,,,,,
Europe,F,Albania  (2014)[64][65],Amelia,Ajla,Melisa,Amelija,Klea,Sara,Kejsi,Noemi,Alesia,Leandra,,,,,,,,,,,,,
Europe,F,Andorra (2013)[66],Laia,Carlota,Emma,Lara,Martina,Aina,Maria,Blanca,Laura,Valentina,,,,,,,,,,,,,
Europe,F,Armenia  (2013)[67],Nareh,Mari,Maneh,Milena,Ani,Anahit,Mariam,Mariya,Elen,,,,,,,,,,,,,,
Europe,F,Austria   (2014)[68],Anna,Hannah,Sophia,Emma,Marie,Lena,Sarah,Sophie,Laura,Mia,,,,,,,,,,,,,
Europe,F,"Belarus (Minsk, 2018)[69]",Sofiya,Marya,Polina,Eva,Anna,Darya,Kseniya,Alisa,,,,,,,,,,,,,,,
Europe,F,Belgium  (overall population 2015)[126],Maria,Marie,Dominique,Martine,Nathalie,Anne,Rita,Nicole,Anna,Christiane,,,,,,,,,,,,,
Europe,F,"Bosnia and Herzegovina, Federation of BiH, (2017)[127]",Amina,Merjem,Sara,Asja,Lamija,Ema,Emina,Hana,Lejla,Esma,,,,,,,,,,,,,
Europe,F,"Bosnia and Herzegovina, Republika Srpska, (2017)[72]",Marija,Sofija,Ana,Milica,Sara,Dunja,Teodora,Anastasija,Anđela,Katarina,,,,,,,,,,,,,
